Programozas 2 II. feladat 2012
1. tmax=1e+007, dt=10000, x0=4.6e+010, y0=0, vx0=0, vy0=58980
10000, 4.59969e+010, 5.89787e+008
20000, 4.59875e+010, 1.17949e+009
30000, 4.59718e+010, 1.76904e+009
40000, 4.59498e+010, 2.35834e+009
50000, 4.59216e+010, 2.94732e+009
60000, 4.58871e+010, 3.53591e+009
70000, 4.58464e+010, 4.12401e+009
80000, 4.57995e+010, 4.71154e+009
90000, 4.57463e+010, 5.29844e+009
100000, 4.56869e+010, 5.88462e+009
110000, 4.56213e+010, 6.47e+009
120000, 4.55495e+010, 7.0545e+009
130000, 4.54715e+010, 7.63804e+009
140000, 4.53874e+010, 8.22055e+009
150000, 4.52971e+010, 8.80195e+009
160000, 4.52007e+010, 9.38216e+009
170000, 4.50982e+010, 9.9611e+009
180000, 4.49896e+010, 1.05387e+010
190000, 4.4875e+010, 1.11149e+010
200000, 4.47543e+010, 1.16896e+010
210000, 4.46277e+010, 1.22627e+010
220000, 4.4495e+010, 1.28342e+010
230000, 4.43565e+010, 1.34039e+010
240000, 4.4212e+010, 1.39719e+010
250000, 4.40616e+010, 1.4538e+010
260000, 4.39053e+010, 1.51022e+010
270000, 4.37433e+010, 1.56644e+010
280000, 4.35754e+010, 1.62245e+010
290000, 4.34018e+010, 1.67824e+010
300000, 4.32225e+010, 1.73382e+010
310000, 4.30375e+010, 1.78917e+010
320000, 4.28468e+010, 1.84428e+010
330000, 4.26505e+010, 1.89915e+010
340000, 4.24487e+010, 1.95377e+010
350000, 4.22414e+010, 2.00814e+010
360000, 4.20285e+010, 2.06225e+010
370000, 4.18103e+010, 2.1161e+010
380000, 4.15866e+010, 2.16966e+010
390000, 4.13576e+010, 2.22295e+010
400000, 4.11233e+010, 2.27596e+010
410000, 4.08837e+010, 2.32867e+010
420000, 4.0639e+010, 2.38109e+010
430000, 4.0389e+010, 2.43321e+010
440000, 4.0134e+010, 2.48501e+010
450000, 3.98738e+010, 2.5365e+010
460000, 3.96087e+010, 2.58768e+010
470000, 3.93386e+010, 2.63853e+010
480000, 3.90636e+010, 2.68905e+010
490000, 3.87837e+010, 2.73923e+010
500000, 3.8499e+010, 2.78908e+010
510000, 3.82096e+010, 2.83858e+010
520000, 3.79154e+010, 2.88773e+010
530000, 3.76166e+010, 2.93653e+010
540000, 3.73132e+010, 2.98497e+010
550000, 3.70053e+010, 3.03304e+010
560000, 3.66929e+010, 3.08075e+010
570000, 3.6376e+010, 3.12809e+010
